"citation_id","priority","cluster_id","authors","title","venue_year","doi_or_canonical_url","pc_authors","fit_and_claim","local_bib_key","local_bib_status","verification_source","action"
"CIT-01","A","C1","Patricia Lago; Henry Muccini; Hans van Vliet","A scoped approach to traceability management","Journal of Systems and Software (2009)","https://doi.org/10.1016/j.jss.2008.08.026","Henry Muccini","Traceability foundations; core traceability paths across requirements, architecture, and implementation.","","ABSENT","https://www.sciencedirect.com/science/article/pii/S0164121208002033","Add only if the related-work sentence needs a scoped architecture/lifecycle traceability foundation."
"CIT-02","A","C1","Rafael Capilla; Olaf Zimmermann; Uwe Zdun; Paris Avgeriou; Jörg M. Küster","An Enhanced Architectural Knowledge Metamodel Linking Architectural Design Decisions to other Artifacts in the Software Engineering Lifecycle","ECSA (2011)","https://doi.org/10.1007/978-3-642-23798-0_33","Rafael Capilla","Architecture knowledge and links from design decisions to lifecycle artifacts.","capilla2011enhanced","PRESENT","https://ucrisportal.univie.ac.at/de/publications/an-enhanced-architectural-knowledge-metamodel-linking-architectur/","Existing key; use for architecture-knowledge/artifact-linking claims."
"CIT-03","A","C1","Antonio Bucchiarone; Davide Di Ruscio; Henry Muccini; Patrizio Pelliccione","From Requirements to code: an Architecture-centric Approach for producing Quality Systems","Book chapter (2009)","https://arxiv.org/abs/0910.0493","Davide Di Ruscio; Henry Muccini","Architecture-centric requirements-to-code lifecycle framing.","","ABSENT","https://arxiv.org/abs/0910.0493","Use only for the architecture-centric lifecycle claim; verify final bibliographic metadata."
"CIT-04","A","C1","Giuliano Antoniol; Jane Cleland-Huang; James H. Hayes; Michael Vierhauser","Grand Challenges of Traceability: The Next Ten Years","arXiv (2017)","https://doi.org/10.48550/arXiv.1710.03129","Michael Vierhauser","Traceability remains an open research challenge and motivates robust recovery/evaluation.","vierhauser2017grand","PRESENT","https://arxiv.org/abs/1710.03129","Existing key; strong motivation/future-work citation."
"CIT-05","A","C2","Chetan Arora; Mehrdad Sabetzadeh; Lionel Briand; Frank Zimmer","Automated Extraction and Clustering of Requirements Glossary Terms","IEEE TSE (2017)","https://doi.org/10.1109/TSE.2016.2635134","Chetan Arora; Mehrdad Sabetzadeh","Glossary/entity extraction and vocabulary normalization for requirements text.","arora2017automated","PRESENT","https://doi.org/10.1109/TSE.2016.2635134","Existing key; direct support for alias/glossary knowledge layers."
"CIT-06","A","C2","Saad Ezzini; Sallam Abualhaija; Chetan Arora; Mehrdad Sabetzadeh","Automated Handling of Anaphoric Ambiguity in Requirements: A Multi-Solution Study","ICSE (2022)","https://doi.org/10.1145/3510003.3510157","Saad Ezzini; Chetan Arora; Mehrdad Sabetzadeh","Automated detection/interpretation of anaphoric ambiguity in requirements; closest analogue to implicit-reference evidence.","ezzini2022automated","PRESENT","https://research.lancaster-university.uk/en/publications/automated-handling-of-anaphoric-ambiguity-in-requirements-a-multi/","Existing key; highest-priority direct analogue, but distinguish requirements from architecture documentation."
"CIT-07","A","C2","Kevin Moran; David N. Palacio; Carlos Bernal-Cárdenas; Daniel McCrystal; Denys Poshyvanyk; Chris Shenefiel; Jeff Johnson","Improving the Effectiveness of Traceability Link Recovery using Hierarchical Bayesian Networks","ICSE (2020)","https://doi.org/10.1145/3377811.3380418","Denys Poshyvanyk","Trace-link recovery that combines similarity signals and implicit/transitive relationships.","poshyvanyk2020improving","PRESENT","https://arxiv.org/abs/2005.09046","Existing key; highest-priority direct TLR baseline/context citation."
"CIT-08","A","C2","Collin McMillan; Denys Poshyvanyk; Meghan Revelle","Combining Textual and Structural Analysis of Software Artifacts for Traceability Link Recovery","TEFSE (2009)","https://doi.org/10.1109/TEFSE.2009.5069582","Denys Poshyvanyk","Textual plus structural evidence for traceability link recovery.","mcmillan2009combining","PRESENT","https://sdf.org/~cmc/papers/mcmillan_tefse09.pdf","Existing key; direct support for multi-signal link recovery."
"CIT-09","A","C2","Simone Haiduc; Gabriele Bavota; Andrian Marcus; Rocco Oliveto; Andrea De Lucia; Thomas Menzies","Automatic Query Reformulations for Text Retrieval in Software Engineering","ICSE (2013)","https://doi.org/10.1109/ICSE.2013.6606630","Gabriele Bavota","Query reformulation closes vocabulary gaps in software-engineering retrieval.","haiduc2013automatic","PRESENT","https://doi.org/10.1109/ICSE.2013.6606630","Existing key; use for retrieval/vocabulary-gap positioning."
"CIT-10","A","C2","Chetan Arora; Mehrdad Sabetzadeh; Arda Göknil; Lionel Briand; Frank Zimmer","Change Impact Analysis for Natural Language Requirements: An NLP Approach","RE (2015)","https://doi.org/10.1109/RE.2015.7320403","Chetan Arora; Mehrdad Sabetzadeh","NLP-based change impact analysis over natural-language requirements; adjacent traceability use case.","","ABSENT","https://people.svv.lu/sabetzadeh/pub/RE15.pdf","Add if discussing downstream maintenance/impact analysis; do not imply it recovers architecture-code links."
"CIT-11","A","C3","Rosalia Tufano; Antonio Mastropaolo; Federica Pepe; Ozren Dabić; Massimiliano Di Penta; Gabriele Bavota","Unveiling ChatGPT’s Usage in Open Source Projects: A Mining-based Study","MSR (2024)","https://doi.org/10.1145/3643991.3644918","Antonio Mastropaolo; Massimiliano Di Penta; Gabriele Bavota","Empirical taxonomy/evidence of ChatGPT use in open-source software work.","","ABSENT","https://arxiv.org/abs/2402.16480","Use for LLM-for-SE usage context, not for trace-link effectiveness."
"CIT-12","A","C3","Xinyi Hou; Yanjie Zhao; Yue Liu; Zhou Yang; Kailong Wang; Li Li; Xiapu Luo; David Lo; John Grundy; Haoyu Wang","Large Language Models for Software Engineering: A Systematic Literature Review","ACM TOSEM (2024)","https://doi.org/10.1145/3695988","Kailong Wang; Xiapu Luo","Systematic map of LLM-for-SE tasks and evidence; useful for positioning the workflow.","","ABSENT","https://doi.org/10.1145/3695988","Use as the broad LLM4SE survey; check the final taxonomy against the claim."
"CIT-13","B","C3","Alberto Bacchelli; Andrea Mocci; Anthony Cleve; Michele Lanza","Mining Structured Data in Natural Language Artifacts with Island Parsing","Science of Computer Programming (2017)","https://doi.org/10.1016/j.scico.2017.06.009","Alberto Bacchelli","Extracting structured fragments from noisy natural-language artifacts; adjacent document-mining method.","","ABSENT","https://researchportal.unamur.be/en/publications/mining-structured-data-in-natural-language-artifacts-with-island-/","Use only for structured extraction motivation; not as a TLR result."
"CIT-14","B","C3","Christoph Treude; Margaret-Anne Storey","Generative AI and Empirical Software Engineering: A Paradigm Shift","arXiv (2025)","https://arxiv.org/abs/2502.08108","Christoph Treude","Empirical-SE framing for generative AI, evidence, and threats to validity.","","ABSENT","https://arxiv.org/abs/2502.08108","Use for evaluation/reporting context only; label as a vision/preprint if cited."
