sentence,component_id,component_name,confidence,source
1,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,entity
1,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,entity
1,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,entity
2,_EBiwMEl4Ee243f2e4VWs6w,cli,1.00,entity
2,_NUdtEEl4Ee243f2e4VWs6w,preferences,1.00,entity
3,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,s24_coverage_audit
4,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,entity
4,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,entity
4,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,entity
5,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,entity
6,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,entity
6,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,entity
6,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,entity
7,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,entity
9,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,entity
9,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,entity
10,_EBiwMEl4Ee243f2e4VWs6w,cli,1.00,entity
11,_NUdtEEl4Ee243f2e4VWs6w,preferences,1.00,entity
12,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,s24_coverage_audit
12,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,s24_coverage_audit
12,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,entity
13,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,s24_coverage_audit
13,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,s24_coverage_audit
13,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,s24_coverage_audit
