system,metric,label,mean_delta,n_runs,sign_agree,verdict,per_run
approach (GPT-5.6-terra),doc_to_model_link_f1,dm F1,1.0600,3,2,INSIDE NOISE,1.5600 -0.3900 2.0100
approach (GPT-5.6-terra),doc_to_model_link_f2,dm F2,1.8500,3,3,BETTER,1.1200 1.0800 3.3500
approach (GPT-5.6-terra),doc_to_code_file_f1,dc F1,-0.1433,3,2,INSIDE NOISE,1.6000 -1.5500 -0.4800
approach (GPT-5.6-terra),doc_to_code_file_f2,dc F2,0.9033,3,3,BETTER,1.2600 0.7000 0.7500
approach (GPT-5.6-terra),doc_to_model_component_miss_rate,dm CMR%,0.6452,3,1,INSIDE NOISE,-0.0000 -0.0000 1.9355
approach (GPT-5.6-terra),doc_to_code_worst_component_f1,dc worst F1,-2.4333,3,3,WORSE,-1.3100 -3.3600 -2.6300
approach (GPT-5.6-terra),doc_to_code_harmonic_component_f1,dc harm F1,-0.2433,3,2,INSIDE NOISE,0.9100 -0.9800 -0.6600
approach (GPT-5.6-luna),doc_to_model_link_f1,dm F1,0.7133,3,2,INSIDE NOISE,-0.5400 2.5300 0.1500
approach (GPT-5.6-luna),doc_to_model_link_f2,dm F2,-0.0600,3,2,INSIDE NOISE,-1.4500 0.1800 1.0900
approach (GPT-5.6-luna),doc_to_code_file_f1,dc F1,-0.4333,3,3,WORSE,-0.7900 -0.0700 -0.4400
approach (GPT-5.6-luna),doc_to_code_file_f2,dc F2,-1.1500,3,2,INSIDE NOISE,-2.4200 -1.6000 0.5700
approach (GPT-5.6-luna),doc_to_model_component_miss_rate,dm CMR%,0.0000,3,0,NO CHANGE,-0.0000 -0.0000 -0.0000
approach (GPT-5.6-luna),doc_to_code_worst_component_f1,dc worst F1,-1.2167,3,2,INSIDE NOISE,-1.7800 1.7100 -3.5800
approach (GPT-5.6-luna),doc_to_code_harmonic_component_f1,dc harm F1,0.3233,3,2,INSIDE NOISE,-0.4300 1.6400 -0.2400
