project,backend,sentence,component,component_id,reference,antecedent_sentence,antecedent_text,p1,p2,twopass_approved,coref_approved,in_gold
mediastore,claude,9,MediaManagement,_p_EeYHDrEeSqnN80MQ2uGw,it,8,The MediaManagement component coordinates the communication of other components.,True,True,True,True,True
mediastore,claude,21,Reencoding,_o10-YHDrEeSqnN80MQ2uGw,This,20,The ReEncoder component converts the bit rates of audio files.,True,True,True,False,False
mediastore,claude,24,DB,_5LN7MLg2EeSNPorBlo7x9g,It,23,"The Database component represents an actual database (e.g., MySQL).",True,True,True,True,True
mediastore,claude,28,MediaAccess,_9eK7YHDrEeSqnN80MQ2uGw,it,27,The MediaAccess component encapsulates database access for meta-data of audio files.,True,True,True,True,True
mediastore,claude,32,DB,_5LN7MLg2EeSNPorBlo7x9g,the Database component,31,The Database component then executes the actual query for files.,True,True,True,True,True
mediastore,claude,33,DB,_5LN7MLg2EeSNPorBlo7x9g,the database,31,The Database component then executes the actual query for files.,True,True,True,True,True
mediastore,claude,34,DB,_5LN7MLg2EeSNPorBlo7x9g,the Database,31,The Database component then executes the actual query for files.,True,True,True,True,True
teastore,claude,6,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,It,5,The WebUI provides the TeaStore front-end using Servlets in combination with JSP files.,True,True,True,True,True
teastore,claude,11,ImageProvider,_yA04AKTKEeqKjI323B3R3w,It,10,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them in the final HTML.,True,True,True,True,True
teastore,claude,23,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,It,22,The Persistence service provides access to the data persisted in the relational database back-end.,True,True,True,True,True
teastore,claude,24,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,It,22,The Persistence service provides access to the data persisted in the relational database back-end.,True,True,True,True,True
teastore,claude,25,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,The persistence provider,22,The Persistence service provides access to the data persisted in the relational database back-end.,True,True,True,True,True
teastore,claude,26,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,it,25,The persistence provider uses a second level entity cache provided by the JPA implementation.,True,True,True,True,True
teastore,claude,28,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,It,27,The Recommender is used to generate individual product recommendations for each user.,True,True,True,True,True
teastore,claude,33,SlopeOneRecommender,_YkXeIDVgEeqPG_FgW3bi6Q,the algorithm,32,Slope One as item-based collaborative filtering is applied to calculate the recommendations.,False,False,False,False,False
teastore,claude,36,OrderBasedRecommender,_kgbngDVgEeqPG_FgW3bi6Q,Its,35,one order-based nearest-neighbor approach is available.,True,True,True,True,False
teastore,claude,38,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,the registry,37,The Registry provides information about how many service instances are online for each service and where they are located.,True,True,True,True,True
teastore,claude,41,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,one single registry,37,The Registry provides information about how many service instances are online for each service and where they are located.,True,True,True,True,True
teastore,claude,43,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,a single registry instance,37,The Registry provides information about how many service instances are online for each service and where they are located.,True,True,True,True,True
teammates,claude,4,UI,_1lMqsKESEeu-mYqkDskRow,The UI Browser,1,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component.",True,True,True,True,True
teammates,claude,5,UI,_1lMqsKESEeu-mYqkDskRow,This UI,4,"The UI Browser seen by users consists of Web pages containing HTML, CSS for styling and JavaScript for client-side interactions such as sorting, input validation, etc..",True,True,True,True,True
teammates,claude,7,UI,_1lMqsKESEeu-mYqkDskRow,the UI Server,5,This UI is a single HTML page generated by Angular framework.,True,True,True,True,True
teammates,claude,16,E2E,_EIoe8KETEeu-mYqkDskRow,Its,15,The E2E end-to-end component is used to interact with the application as a whole with Web browsers.,True,True,True,True,True
teammates,claude,19,Client,_GaP8QKETEeu-mYqkDskRow,It,18,The Client component can connect to the back end directly without using a Web browser.,True,True,True,True,True
teammates,claude,78,Logic,_3LCnIKESEeu-mYqkDskRow,it,77,The Logic component handles the business logic of TEAMMATES.,True,True,True,True,True
teammates,claude,92,Logic,_3LCnIKESEeu-mYqkDskRow,It,88,Logic is a Facade class which connects to the several Logic classes to handle the logic related to various types of data and to access data from the Storage component.,False,False,False,False,False
teammates,claude,119,Storage,_9JlCIKESEeu-mYqkDskRow,It,118,"The Storage component performs CRUD (Create, Read, Update, Delete) operations on data entities individually.",True,True,True,True,True
teammates,claude,120,Storage,_9JlCIKESEeu-mYqkDskRow,it,118,"The Storage component performs CRUD (Create, Read, Update, Delete) operations on data entities individually.",True,True,True,True,True
teammates,claude,125,Storage,_9JlCIKESEeu-mYqkDskRow,this component,123,All GQL queries are to be contained inside the Storage component.,True,True,True,True,False
teammates,claude,131,Storage,_9JlCIKESEeu-mYqkDskRow,the component,128,The Storage component does not perform any cascade delete/create operations.,True,True,True,True,False
teammates,claude,131,Logic,_3LCnIKESEeu-mYqkDskRow,the logic component,129,Cascade logic is handled by the Logic component.,True,True,True,True,True
teammates,claude,138,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,the datastore,137,These classes act as the bridge to the GAE Datastore.,True,True,True,True,True
teammates,claude,141,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,the Google's distributed datastore,137,These classes act as the bridge to the GAE Datastore.,True,True,True,False,True
teammates,claude,168,Test Driver,_Bae2oKETEeu-mYqkDskRow,This component,163,Test Driver can use the DataBundle in this manner to send an arbitrary number of objects to be persisted in the database.,True,True,True,True,True
