"topic_fit_rank","cluster_id","cluster","fit_tier","reviewer","official_role","official_profile_url","expertise_evidence_url","evidence_note","conflict_status","screening_action","evidence_paper_count","direct_paper_count","adjacent_paper_count","topic_fit_score","evidence_ids","paper_evidence_status"
"1","C2","Requirements, NLP, ambiguity & trace-link recovery","A","Denys Poshyvanyk","Area Chair","https://conf.researchr.org/profile/fse-2027/denysposhyvanyk2","https://www.cs.wm.edu/~dposhyvanyk/publications.html","Public research page explicitly lists program comprehension, software analytics, AI4SE, and traceability; verified TLR papers are linked in the citation sheet.","NONE_SEEN","Direct trace-link recovery and program-comprehension fit.","7","7","0","21","E032;E033;E034;E035;E036;E037;E038","MULTI_PAPER_CHECKED"
"2","C2","Requirements, NLP, ambiguity & trace-link recovery","B","Gabriele Bavota","Member","https://conf.researchr.org/profile/fse-2027/gabrielebavota","https://dblp.org/pid/09/8523.html","Public publication index plus verified work on query reformulation and software analytics.","NONE_SEEN","Retrieval/query-reformulation and empirical SE fit.","6","6","0","18","E039;E040;E041;E042;E043;E044","MULTI_PAPER_CHECKED"
"3","C2","Requirements, NLP, ambiguity & trace-link recovery","A","Chetan Arora","Member","https://conf.researchr.org/profile/fse-2027/chetanarora","https://doi.org/10.1109/TSE.2016.2635134","Author of a verified requirements glossary extraction/clustering paper; official PC membership confirmed.","NONE_SEEN","Direct vocabulary/entity-linking fit.","5","5","0","15","E019;E020;E021;E022;E023","MULTI_PAPER_CHECKED"
"4","C2","Requirements, NLP, ambiguity & trace-link recovery","A","Mehrdad Sabetzadeh","Member","https://conf.researchr.org/profile/fse-2027/mehrdadsabetzadeh","https://people.svv.lu/sabetzadeh/pub/RE15.pdf","Coauthor of verified glossary, ambiguity, change-impact, and requirements NLP work.","NONE_SEEN","Direct requirements/NLP/traceability fit.","5","5","0","15","E027;E028;E029;E030;E031","MULTI_PAPER_CHECKED"
"5","C1","Architecture, architecture knowledge & traceability","A","Michael Vierhauser","Member","https://conf.researchr.org/profile/fse-2027/michaelvierhauser","https://michael.vierhauser.net/publications/","Public publication list includes traceability challenges, traceability queries, and trace-link establishment.","NONE_SEEN","Direct traceability fit; strongest foundation cluster signal.","6","4","2","14","E011;E012;E013;E014;E015;E016","MULTI_PAPER_CHECKED"
"6","C1","Architecture, architecture knowledge & traceability","A","Rafael Capilla","Member","https://conf.researchr.org/profile/fse-2027/rafaelcapilla","https://ucrisportal.univie.ac.at/de/publications/an-enhanced-architectural-knowledge-metamodel-linking-architectur/","Public publication record covers architectural knowledge and links from design decisions to lifecycle artifacts.","NONE_SEEN","Strong architecture-knowledge and artifact-linking fit.","5","4","1","13","E006;E007;E008;E009;E010","MULTI_PAPER_CHECKED"
"7","C1","Architecture, architecture knowledge & traceability","A","Henry Muccini","Area Chair","https://conf.researchr.org/profile/fse-2027/henrymuccini","https://www.henrymuccini.com/research/","Public research page covers software architecture and architecture-based analysis/testing; traceability candidate via architecture lifecycle work.","NONE_SEEN","Check architecture/traceability fit in the current venue context.","5","3","2","11","E001;E002;E003;E004;E005","MULTI_PAPER_CHECKED"
"8","C3","LLM/AI4SE, empirical evidence & workflow validation","B","Christoph Treude","Member","https://conf.researchr.org/profile/fse-2027/christophtreude","https://arxiv.org/abs/2502.08108","Public vision paper addresses generative AI and empirical software engineering, including evidence and threats.","NONE_SEEN","Empirical framing and evaluation-threat context.","5","2","3","9","E059;E060;E061;E062;E063","MULTI_PAPER_CHECKED"
"9","C2","Requirements, NLP, ambiguity & trace-link recovery","A","Saad Ezzini","Member","https://conf.researchr.org/profile/fse-2027/saadezzini","https://research.lancaster-university.uk/en/publications/automated-handling-of-anaphoric-ambiguity-in-requirements-a-multi/","Author of a verified ICSE study on automated anaphoric ambiguity handling in requirements.","NONE_SEEN","Closest public evidence for implicit-reference/ambiguity reasoning.","3","2","1","7","E024;E025;E026","MULTI_PAPER_CHECKED"
"10","C1","Architecture, architecture knowledge & traceability","A","Davide Di Ruscio","Member","https://conf.researchr.org/profile/fse-2027/davidediruscio","https://arxiv.org/abs/0910.0493","Coauthor of a public architecture-centric requirements-to-code paper; official PC profile confirms membership.","NONE_SEEN","Architecture lifecycle and requirements-to-code adjacency.","2","2","0","6","E017;E018","LIMITED_PAPER_CHECKED"
